adId,asin,sku,adGroupId,adGroupName,campaignId,campaignName,reportId,reportDate,recordType,userId,profileId,localProfileId,impressions,clicks,cost,attributedConversions14d,attributedConversions14dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered14dSameSKU,attributedSales14d,attributedSales14dSameSKU
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA85236.167864e7-eb15-4a10-a54e-9323442a6ee0,2020-09-16 19:16:55 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA854B0.b571af9e-aef3-42d7-94e4-9571b1c139cc,2020-09-10 19:27:28 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA85231.8634ec95-8709-46a0-8de9-3458c153591c,2020-09-17 19:16:49 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA85210.97c05307-666a-4dbb-ab51-cb3e31240778,2020-09-23 19:16:16 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA85242.02badef4-f442-4896-8a68-9f9d362d6de2,2020-09-14 19:17:06 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
212444777192068,B08CTZNF73,3M-9JOI-URCF,69398193233202,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Branded|3M-9JOI-URCF,156078601357736,Pet Slow Feeder Licking Mat - Branded|TM,amzn1.clicksAPI.v1.p1.5FA851FF.edfa77de-8f39-4edc-93eb-71a50a455caa,2020-09-26 19:15:59 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA854B0.b571af9e-aef3-42d7-94e4-9571b1c139cc,2020-09-10 19:27:28 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,0,0,0,0,0,0,0,0,0
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85215.65ee8b12-0b3a-4df7-a4cb-1032ecd4d952,2020-09-22 19:16:22 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,2575,10,10.98,0,0,0,0,0,0
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA8523C.72ffa9c2-91c9-48cd-91d2-849987003991,2020-09-15 19:17:00 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,521,3,2.75,0,0,0,0,0,0
243191964940183,B08CTZNF73,DLM-YB-060720,34688858739500,OBATTI Slow Feeder Cat Dog Lick Mat Boredom Buster Anxiety Reducer Perfect for Treats Blue Yellow - Auto|DLM-YB-060720,92142025352486,Pet Slow Feeder Licking Mat - Auto|TM,amzn1.clicksAPI.v1.p1.5FA85226.fc4ef13a-8a84-4e5f-9d9d-45208d42a55e,2020-09-19 19:16:38 UTC,productAd,601889de36126830c0574c5d,3448590598287718,601889e1bef1c53125e803db,1898,11,12.69,0,0,0,0,0,0
